tf,level,strength,tol,rank
4h,117326.05,0.0030637254901960784,360.0,108
4h,98730.061,0.0030637254901960784,360.0,109
4h,99398.98,0.0030637254901960784,360.0,110
4h,84506.63,0.0030637254901960784,360.0,111
4h,87974.75555555556,0.0027573529411764708,360.0,112
4h,92993.48444444445,0.0027573529411764708,360.0,113
4h,88612.12777777777,0.0027573529411764708,360.0,114
4h,56179.06888888889,0.0027573529411764708,360.0,115
4h,12218.392222222223,0.0027573529411764708,360.0,116
4h,51948.08777777778,0.0027573529411764708,360.0,117
4h,87333.1,0.0027573529411764708,360.0,118
4h,113471.13222222222,0.0027573529411764708,360.0,119
4h,105113.73125000001,0.0024509803921568627,360.0,120
4h,85934.96125,0.0024509803921568627,360.0,121
4h,92399.06999999999,0.0024509803921568627,360.0,122
4h,102620.92499999999,0.0024509803921568627,360.0,123
4h,112613.06125,0.0024509803921568627,360.0,124
4h,114716.99625,0.0024509803921568627,360.0,125
4h,13832.19625,0.0024509803921568627,360.0,126
4h,33390.74375,0.0024509803921568627,360.0,127
4h,54177.442857142865,0.002144607843137255,360.0,128
4h,103352.28714285714,0.002144607843137255,360.0,129
4h,102103.5257142857,0.002144607843137255,360.0,130
4h,100229.40000000001,0.002144607843137255,360.0,131
4h,109115.46285714288,0.002144607843137255,360.0,132
4h,118763.375,0.001838235294117647,360.0,133
4h,119419.44666666666,0.001838235294117647,360.0,134
4h,100770.64333333333,0.001838235294117647,360.0,135
4h,81247.66666666667,0.001838235294117647,360.0,136
4h,4189.345,0.001838235294117647,360.0,137
4h,117998.03199999998,0.0015318627450980392,360.0,138
4h,104529.222,0.0015318627450980392,360.0,139
4h,70709.314,0.0015318627450980392,360.0,140
4h,101359.272,0.0015318627450980392,360.0,141
4h,72900.898,0.0015318627450980392,360.0,142
4h,54732.659999999996,0.0015318627450980392,360.0,143
4h,81789.075,0.0012254901960784314,360.0,144
4h,111086.2725,0.0012254901960784314,360.0,145
4h,114145.75,0.0012254901960784314,360.0,146
4h,78398.67,0.0009191176470588235,360.0,147
4h,122395.59666666668,0.0009191176470588235,360.0,148
4h,120037.21333333333,0.0009191176470588235,360.0,149
4h,72082.47666666667,0.0009191176470588235,360.0,150
4h,73682.45666666667,0.0009191176470588235,360.0,151
4h,74577.33333333333,0.0009191176470588235,360.0,152
4h,76618.66333333333,0.0009191176470588235,360.0,153
4h,82363.98666666666,0.0009191176470588235,360.0,154
4h,83107.04,0.0009191176470588235,360.0,155
4h,107819.27666666667,0.0009191176470588235,360.0,156
4h,15014.666666666666,0.0009191176470588235,360.0,157
4h,123828.965,0.0006127450980392157,360.0,158
4h,115113.63500000001,0.0006127450980392157,360.0,159
4h,79969.95,0.0006127450980392157,360.0,160
4h,75717.28,0.0006127450980392157,360.0,161
4h,80603.825,0.0006127450980392157,360.0,162
4h,121010.39000000001,0.0006127450980392157,360.0,163
4h,124335.625,0.0006127450980392157,360.0,164
4h,79360.0,0.00030637254901960784,360.0,165
4h,125708.42,0.00030637254901960784,360.0,166
4h,125126.0,0.00030637254901960784,360.0,167
4h,120574.94,0.00030637254901960784,360.0,168
4h,123218.0,0.00030637254901960784,360.0,169
4h,121510.0,0.00030637254901960784,360.0,170
4h,77199.99,0.00030637254901960784,360.0,171
4h,14344.22,0.00030637254901960784,360.0,172
4h,126199.63,0.00030637254901960784,360.0,173
